GRPUSRCODE,USERCODE,USERBLOKIMAGE,GROUPBLOKIMAGE
ZH001904,ITSORMPA,True,False
ZH000758,ZH001906,True,False
ZH001909,ABAKKER2,False,False
ZH001909,ABLAUW3,False,False
ZH001909,AOLSA2,False,False
ZH001909,AVERSLU2,False,False
ZH001909,BBURGER,False,False
ZH001909,EBEVEREN,False,False
ZH001909,EKERKHO5,False,False
ZH001909,EKONING6,False,False
ZH001909,EMUILWIJ,False,False
ZH001909,FENGELS,False,False
ZH001909,FMEYERWE,False,False
ZH001909,FSUTTON,False,False
ZH001909,IDELAU,False,False
ZH001909,IKALKHOV,False,False
ZH001909,JHASSIN2,False,False
ZH001909,KPOLLE3,False,False
ZH001875,NNOORT,True,False
ZH001874,NNOORT,True,False
ZH001099,NNOORT,True,False
ZH001904,GOOFT,False,False
ZH001909,LMEIJE13,False,False
ZH001909,MBORSJE2,False,False
ZH001909,MDIERSEL,False,False
ZH001909,MHAGLEI2,False,False
ZH001909,MMEIJS3,False,False
ZH001909,NEIJKEL2,False,False
ZH001909,NFRANKE,False,False
ZH001909,RMANGAL,False,False
ZH001909,SBROOKHU,False,False
ZH001909,WHILSTER,False,False
ZH001412,SREIJNTJ,True,False
ZH001412,EWANNET2,True,False
BAPLAB,ARINGELI,True,False
BAPLAB,WGINKEL,False,False
ZH001509,CVOGT,False,False
